Unnamed: 0,treatment_region,treatment_start,treatment_end,io_sum,counter_io_sum,bayes_uplift,sd,perc_lift,bayes_Stat_Sig,hdi_5%,hdi_95%,mcse_mean,mcse_sd
x,Denver,2024-08-01,2024-10-01,35,68.773,-33.772,10.758,-0.4911,False,-51.715,-16.772,0.269,0.19
x,Austin,2024-09-01,2024-10-01,34,42.529,-8.529,6.791,-0.2005,False,-19.604,2.915,0.116,0.083
x,Miami,2024-08-01,2024-10-01,73,84.16499999999999,-11.165,12.453,-0.1327,False,-32.073,8.658,0.34,0.24
x,San Francisco,2024-09-01,2024-10-01,80,65.936,14.064,11.024,0.2133,False,-4.55,31.973,0.232,0.164
x,Los Angeles,2024-09-01,2024-10-01,93,73.768,19.232,9.087,0.2607,True,4.816,34.73,0.139,0.1
x,New York,2024-08-01,2024-10-01,421,363.787,57.213,22.262,0.1573,True,22.402,95.257,0.504,0.356
